iter	Logloss
0	0.653511118
1	0.6199351144
2	0.586584471
3	0.5598226311
4	0.5391944126
5	0.5193581896
6	0.5015595153
7	0.4845848957
8	0.4672500178
9	0.450532423
10	0.4389765337
11	0.4254787525
12	0.4142444124
13	0.403546649
14	0.3945866075
15	0.3831852336
16	0.3729981309
17	0.36049776
18	0.353353721
19	0.3432950279
20	0.3352329353
21	0.3237174309
22	0.3154220548
23	0.3105940495
24	0.3000604698
25	0.294239178
26	0.2867837028
27	0.2814038029
28	0.2752133476
29	0.2694144843
30	0.2656300359
31	0.2604495443
32	0.2548354717
33	0.2511322697
34	0.2464345069
35	0.2410162144
36	0.2375179963
37	0.232934859
38	0.2294379862
39	0.2246753246
40	0.2192778784
41	0.2150802968
42	0.2135922939
43	0.2129116253
44	0.209052984
45	0.2058729168
46	0.2023841967
47	0.1999628136
48	0.195419172
49	0.1930059904
50	0.1901971806
51	0.1877400826
52	0.185142443
53	0.1826242857
54	0.1793405011
55	0.1774123146
56	0.1756167486
57	0.1728016496
58	0.171537263
59	0.1700478727
60	0.1681258607
61	0.1659657805
62	0.164135561
63	0.1615856205
64	0.1597818391
65	0.1582611485
66	0.1557866245
67	0.1528062889
68	0.1503197607
69	0.1492270186
70	0.147756467
71	0.146398343
72	0.1438870939
73	0.1417853709
74	0.1395780394
75	0.1379690954
76	0.1361783379
77	0.1353275313
78	0.1346133852
79	0.1329003083
80	0.1318913974
81	0.1305900104
82	0.1287448051
83	0.1268778619
84	0.1256241399
85	0.1230825171
86	0.121839476
87	0.119910943
88	0.1184149203
89	0.1167645637
90	0.1144132908
91	0.1124418557
92	0.1114127594
93	0.1095923132
94	0.1084179815
95	0.1072196091
96	0.1063404798
97	0.10466192
98	0.1034369755
99	0.1022088093
100	0.100310337
101	0.09880928028
102	0.09768930201
103	0.09641768531
104	0.09578206973
105	0.09517606364
106	0.0948092127
107	0.09343364194
108	0.09210528585
109	0.09129916335
110	0.09083944752
111	0.0897360234
112	0.08895664618
113	0.08779636531
114	0.08759656048
115	0.08659614411
116	0.08571069629
117	0.08448906105
118	0.08381887707
119	0.08294432538
120	0.0813911632
121	0.08066452735
122	0.07955729186
123	0.07857514118
124	0.07730870891
125	0.07673482829
126	0.07565945172
127	0.0751198476
128	0.07401464347
129	0.07321853191
130	0.0724410278
131	0.07193980958
132	0.07086357915
133	0.07063716974
134	0.0702162795
135	0.07006717155
136	0.06905049841
137	0.06805823843
138	0.06737933673
139	0.06635831786
140	0.06542900794
141	0.06461470432
142	0.0638233473
143	0.06378430165
144	0.06326129089
145	0.06297787426
146	0.06238546123
147	0.06151916401
148	0.06092161441
149	0.06034226397
150	0.05949889455
151	0.05938846605
152	0.05881059108
153	0.05803352676
154	0.05744581716
155	0.05724099391
156	0.0568685125
157	0.05596686661
158	0.05531091501
159	0.05471731972
160	0.05390503653
161	0.05312383924
162	0.05308750804
163	0.05225410458
164	0.05163029617
165	0.05100386312
166	0.05063775206
167	0.05003180348
168	0.04967884668
169	0.04917571429
170	0.04863025534
171	0.04831658421
172	0.04774825195
173	0.04727826848
174	0.04685684318
175	0.04669196982
176	0.04637329533
177	0.04597259888
178	0.04540613673
179	0.04497157321
180	0.04474428124
181	0.0442889444
182	0.04389174933
183	0.04376079319
184	0.04339847975
185	0.04293560137
186	0.04258186803
187	0.04211733847
188	0.0420787536
189	0.04175135493
190	0.04142433568
191	0.04106283563
192	0.04058873631
193	0.040214286
194	0.03995502957
195	0.03949967353
196	0.03940970238
197	0.03905693503
198	0.03874049236
199	0.0383949801
200	0.03819561861
201	0.03786765776
202	0.03766718631
203	0.03720624689
203	0.03154452225
02880584162
204	0.02861859869
205	0.02846139217
206	0.02821000957
207	0.0279534974
208	0.02773694695
209	0.02750302616
210	0.02735173255
211	0.02729320712
212	0.02713437629
213	0.02692697838
214	0.02673206687
215	0.02654846838
216	0.02633220808
217	0.0261721644
218	0.02599724778
219	0.02579295175
220	0.02559598578
221	0.02546691449
222	0.0253257007
223	0.02515534417
224	0.02499762659
225	0.02483610612
226	0.02462333885
227	0.02454908698
228	0.0244013956
229	0.02426404234
230	0.02412077423
231	0.02395188455
232	0.02377322415
233	0.02359639667
234	0.02337042364
235	0.02323385383
236	0.02302576871
237	0.02284985326
238	0.02273561055
239	0.02259042918
240	0.02244082159
241	0.02229435101
242	0.02210438891
243	0.02195959172
244	0.02185467943
245	0.02170254672
246	0.02156997119
247	0.02143030377
248	0.02128641132
249	0.02116118301
250	0.02107296485
251	0.02096359113
252	0.02087220887
253	0.02076348552
254	0.02065205109
255	0.02052211144
256	0.0204323439
257	0.02029997281
258	0.0201499918
259	0.02006683486
260	0.01998124626
261	0.01987258002
262	0.01977061501
263	0.01966332088
264	0.01953695024
265	0.01943745683
266	0.01933736927
267	0.01927268108
268	0.01914019444
269	0.01905391385
270	0.0189372738
271	0.01881502192
272	0.01871067092
273	0.01863141517
7732
